Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"1009.Alarm.DriveFault","DB76,X16.2",Boolean,1,RO,100,,,,,,,,,,"驱动器故障",
"1009.Alarm.EstopFault","DB76,X16.7",Boolean,1,RO,100,,,,,,,,,,"急停故障",
"1009.Alarm.LS_Fault","DB76,X17.2",Boolean,1,RO,100,,,,,,,,,,"限位故障",
"1009.Alarm.OutSideFault","DB76,X17.1",Boolean,1,RO,100,,,,,,,,,,"货物超边故障",
"1009.Alarm.PH_Fault","DB76,X16.6",Boolean,1,RO,100,,,,,,,,,,"光电管异常",
"1009.Alarm.QF_Fault","DB76,X16.4",Boolean,1,RO,100,,,,,,,,,,"空开故障",
"1009.Alarm.QS_Fault","DB76,X16.5",Boolean,1,RO,100,,,,,,,,,,"隔离开关故障",
"1009.Alarm.TimeOutFault","DB76,X16.3",Boolean,1,RO,100,,,,,,,,,,"超时故障",
"1009.Alarm.TotalFault","DB76,X16.1",Boolean,1,RO,100,,,,,,,,,,"总故障",
"1009.State.BackUp10","DB51,X177.3",Boolean,1,RO,100,,,,,,,,,,"备用",
"1009.State.BackUp11","DB51,X177.4",Boolean,1,RO,100,,,,,,,,,,"备用",
"1009.State.BackUp12","DB51,X177.5",Boolean,1,RO,100,,,,,,,,,,"备用",
"1009.State.BackUp13","DB51,X177.6",Boolean,1,RO,100,,,,,,,,,,"备用",
"1009.State.CheckOK","DB51,X177.2",Boolean,1,RO,100,,,,,,,,,,"1条码校验成功",
"1009.State.ForwardRun","DB76,X17.5",Boolean,1,RO,100,,,,,,,,,,"正转运行",
"1009.State.IsRotate","DB51,B176",Byte,1,RO,100,,,,,,,,,,"1旋转/2不旋转",
"1009.State.Load","DB76,X17.3",Boolean,1,RO,100,,,,,,,,,,"负载",
"1009.State.NoRead","DB51,X177.1",Boolean,1,RO,100,,,,,,,,,,"1条码读不出来",
"1009.State.OutFlag","DB51,W178",Short,1,RO,100,,,,,,,,,,"1出库站台无货",
"1009.State.ReadOK","DB51,X177.0",Boolean,1,RO,100,,,,,,,,,,"1条码读取成功",
"1009.State.Remaining","DB51,X177.7",Boolean,1,RO,100,,,,,,,,,,"1尾盘、0整盘",
"1009.State.ReversalRun","DB76,X17.6",Boolean,1,RO,100,,,,,,,,,,"反转运行",
"1009.State.Runing","DB76,X16.0",Boolean,1,RO,100,,,,,,,,,,"设备运行标志",
"1009.State.SelectPlace","DB76,X17.4",Boolean,1,RO,100,,,,,,,,,,"选中位",
"1009.State.State_BY2","DB76,X17.0",Boolean,1,RO,100,,,,,,,,,,"备用2",
"1009.State.State_BY3","DB76,X17.7",Boolean,1,RO,100,,,,,,,,,,"备用",
"1009.Task.Code","DB51,B162",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_1","DB51,B163",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_2","DB51,B164",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_3","DB51,B165",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_4","DB51,B166",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_5","DB51,B167",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_6","DB51,B168",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.Code_7","DB51,B169",Char,1,RO,100,,,,,,,,,,"条码",
"1009.Task.DestSta","DB51,W174",Short,1,RO,100,,,,,,,,,,"目标站台",
"1009.Task.StartSta","DB51,W172",Short,1,RO,100,,,,,,,,,,"开始站台",
"1009.Task.Task","DB51,W160",Short,1,RO,100,,,,,,,,,,"任务号",
"1009.Task.TpType","DB51,W170",Short,1,RO,100,,,,,,,,,,"货物类型",
"1010.Alarm.DriveFault","DB76,X18.2",Boolean,1,RO,100,,,,,,,,,,"驱动器故障",
"1010.Alarm.EstopFault","DB76,X18.7",Boolean,1,RO,100,,,,,,,,,,"急停故障",
"1010.Alarm.LS_Fault","DB76,X19.2",Boolean,1,RO,100,,,,,,,,,,"限位故障",
"1010.Alarm.OutSideFault","DB76,X19.1",Boolean,1,RO,100,,,,,,,,,,"货物超边故障",
"1010.Alarm.PH_Fault","DB76,X18.6",Boolean,1,RO,100,,,,,,,,,,"光电管异常",
"1010.Alarm.QF_Fault","DB76,X18.4",Boolean,1,RO,100,,,,,,,,,,"空开故障",
"1010.Alarm.QS_Fault","DB76,X18.5",Boolean,1,RO,100,,,,,,,,,,"隔离开关故障",
"1010.Alarm.TimeOutFault","DB76,X18.3",Boolean,1,RO,100,,,,,,,,,,"超时故障",
"1010.Alarm.TotalFault","DB76,X18.1",Boolean,1,RO,100,,,,,,,,,,"总故障",
"1010.State.BackUp10","DB51,X197.3",Boolean,1,RO,100,,,,,,,,,,"备用",
"1010.State.BackUp11","DB51,X197.4",Boolean,1,RO,100,,,,,,,,,,"备用",
"1010.State.BackUp12","DB51,X197.5",Boolean,1,RO,100,,,,,,,,,,"备用",
"1010.State.BackUp13","DB51,X197.6",Boolean,1,RO,100,,,,,,,,,,"备用",
"1010.State.CheckOK","DB51,X197.2",Boolean,1,RO,100,,,,,,,,,,"1条码校验成功",
"1010.State.ForwardRun","DB76,X19.5",Boolean,1,RO,100,,,,,,,,,,"正转运行",
"1010.State.IsRotate","DB51,B196",Byte,1,RO,100,,,,,,,,,,"1旋转/2不旋转",
"1010.State.Load","DB76,X19.3",Boolean,1,RO,100,,,,,,,,,,"负载",
"1010.State.NoRead","DB51,X197.1",Boolean,1,RO,100,,,,,,,,,,"1条码读不出来",
"1010.State.OutFlag","DB51,W198",Short,1,RO,100,,,,,,,,,,"1出库站台无货",
"1010.State.ReadOK","DB51,X197.0",Boolean,1,RO,100,,,,,,,,,,"1条码读取成功",
"1010.State.Remaining","DB51,X197.7",Boolean,1,RO,100,,,,,,,,,,"1尾盘、0整盘",
"1010.State.ReversalRun","DB76,X19.6",Boolean,1,RO,100,,,,,,,,,,"反转运行",
"1010.State.Runing","DB76,X18.0",Boolean,1,RO,100,,,,,,,,,,"设备运行标志",
"1010.State.SelectPlace","DB76,X19.4",Boolean,1,RO,100,,,,,,,,,,"选中位",
"1010.State.State_BY2","DB76,X19.0",Boolean,1,RO,100,,,,,,,,,,"备用2",
"1010.State.State_BY3","DB76,X19.7",Boolean,1,RO,100,,,,,,,,,,"备用",
"1010.Task.Code","DB51,B182",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_1","DB51,B183",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_2","DB51,B184",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_3","DB51,B185",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_4","DB51,B186",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_5","DB51,B187",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_6","DB51,B188",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.Code_7","DB51,B189",Char,1,RO,100,,,,,,,,,,"条码",
"1010.Task.DestSta","DB51,W194",Short,1,RO,100,,,,,,,,,,"目标站台",
"1010.Task.StartSta","DB51,W192",Short,1,RO,100,,,,,,,,,,"开始站台",
"1010.Task.Task","DB51,W180",Short,1,RO,100,,,,,,,,,,"任务号",
